timestamp_start,timestamp_end,target,ip_protocol,packet_loss,packets_send,ping_avg,ping_worst,ping_best,ping_stddev,average_speed
2024-02-26 15:24:15,2024-02-26 15:24:40,131.173.23.81,v4,1.2,250,52.555,132.737,46.791,6.591,0
2024-02-26 15:25:10,2024-02-26 15:25:35,131.173.23.81,v4,0,250,53.076,124.244,45.188,7.918,0
2024-02-27 05:12:17,2024-02-27 05:12:42,131.173.23.81,v4,0,250,51.459,66.657,44.824,3.828,18.8339667910235
2024-02-27 05:13:40,2024-02-27 05:14:05,131.173.23.81,v4,2,250,50.8,146.642,42.562,7.755,41.0920680461849
2024-02-27 05:14:51,2024-02-27 05:15:16,131.173.23.81,v4,14.8,250,68.124,345.948,55.503,29.563,29.6525312613629
2024-02-27 05:16:02,2024-02-27 05:16:27,131.173.23.81,v4,9.6,250,73.898,1135.82,42.383,124.39,17.2167614503317
2024-02-27 05:16:59,2024-02-27 05:17:24,131.173.23.81,v4,0.4,250,52.172,90.128,43.855,6.114,26.4442155700006
2024-02-27 05:17:54,2024-02-27 05:18:19,131.173.23.81,v4,0.4,250,48.902,67.787,41.683,5.333,47.1893191318444
2024-02-27 05:19:20,2024-02-27 05:19:45,131.173.23.81,v4,12,250,53.517,130.476,45.784,7.096,21.5762723336496
2024-02-27 05:20:46,2024-02-27 05:21:11,131.173.23.81,v4,32,250,49.491,158.163,43.721,9.481,17.5414613574214
2024-02-27 05:22:12,2024-02-27 05:22:37,131.173.23.81,v4,0,250,55.909,110.88,43.761,6.707,0
2024-02-27 05:24:25,2024-02-27 05:24:50,131.173.23.81,v4,9.2,250,63.31,134.218,43.743,16.411,0
2024-02-27 05:25:20,2024-02-27 05:25:45,131.173.23.81,v4,0.4,250,58.513,128.458,43.681,8.817,0
2024-02-27 05:26:15,2024-02-27 05:26:40,131.173.23.81,v4,0.4,250,48.659,60.509,43.717,3.541,0
2024-02-27 07:40:26,2024-02-27 07:40:51,131.173.23.81,v4,0.4,250,50.415,92.135,43.191,5.092,0
2024-02-27 07:41:40,2024-02-27 07:42:06,131.173.23.81,v4,2.8,250,49.372,65.866,42.901,4.019,0
2024-02-27 07:42:54,2024-02-27 07:43:19,131.173.23.81,v4,3.2,250,70.626,198.445,43.154,18.34,1.8455159536841
2024-02-27 07:45:10,2024-02-27 07:45:35,131.173.23.81,v4,0.4,250,49.623,80.397,41.979,5.042,11.6484695599744
2024-02-27 07:46:05,2024-02-27 07:46:30,131.173.23.81,v4,0,250,58.74,87.533,42.907,9.096,2.74259823009903
2024-02-27 07:47:00,2024-02-27 07:47:25,131.173.23.81,v4,0,250,49.927,102.994,42.594,5.426,0
2024-02-27 07:47:55,2024-02-27 07:48:20,131.173.23.81,v4,2.4,250,52.367,83.472,43.45,7.34,12.7852297958658
2024-02-27 07:48:51,2024-02-27 07:49:16,131.173.23.81,v4,0.4,250,63.365,102.402,53.376,8.408,44.8611395385277
2024-02-27 07:50:11,2024-02-27 07:50:36,131.173.23.81,v4,1.6,250,59.159,103.737,50.318,6.902,19.111515660179
2024-02-27 07:51:06,2024-02-27 07:51:31,131.173.23.81,v4,0.8,250,49.009,84.006,43.715,4.46,22.0334483405575
